HB_BUSAVG_DAM,HB_HOUSTON_DAM,HB_HUBAVG_DAM,HB_NORTH_DAM,HB_PAN_DAM,HB_SOUTH_DAM,HB_WEST_DAM,LZ_AEN_DAM,LZ_CPS_DAM,LZ_HOUSTON_DAM,LZ_LCRA_DAM,LZ_NORTH_DAM,LZ_RAYBN_DAM,LZ_SOUTH_DAM,LZ_WEST_DAM,key,HB_BUSAVG_RTM,HB_HOUSTON_RTM,HB_HUBAVG_RTM,HB_NORTH_RTM,HB_PAN_RTM,HB_SOUTH_RTM,HB_WEST_RTM,LZ_AEN_RTM,LZ_CPS_RTM,LZ_HOUSTON_RTM,LZ_LCRA_RTM,LZ_NORTH_RTM,LZ_RAYBN_RTM,LZ_SOUTH_RTM,LZ_WEST_RTM,COAST_Load,EAST_Load,FWEST_Load,NORTH_Load,NCENT_Load,SOUTH_Load,SCENT_Load,WEST_Load,ERCOT_Load,temperature_W,dew_point_temperature_W,relative_humidity_W,visibility_W,altimeter_W,temperature_N,dew_point_temperature_N,relative_humidity_N,visibility_N,altimeter_N,temperature_S,dew_point_temperature_S,relative_humidity_S,visibility_S,altimeter_S,temperature_C,dew_point_temperature_C,relative_humidity_C,visibility_C,altimeter_C,temperature_E,dew_point_temperature_E,relative_humidity_E,visibility_E,altimeter_E,month,weekend,holiday,REGDN,REGUP,RRS,NSPIN,ECRS
36.3,35.45,36.77,36.17,38.33,34.81,40.64,34.78,35.23,35.39,34.91,36.21,36.32,36.62,56.8,07/01/2025 1,48.1125,48.385000000000005,48.3925,48.4425,50.0375,45.2,51.5375,46.54625,45.2225,48.42125,46.52625,48.47125,48.58,46.48375,61.775,14386.943713,1833.719803,7228.378906,1748.815363,16024.215181,3845.923805,8315.950616,1278.535711,54662.483098,,,,,,,,,,,25.0,22.8,88.0,16.093,1015.2,31.0,18.0,46.0,16.093,1015.9,30.0,23.3,67.0,16.093,1015.2,7,0,0,0.93,1.62,1.0,0.94,0.06
36.88,35.95,37.39,36.74,39.1,35.26,41.6,35.17,35.66,35.89,35.32,36.78,36.9,37.12,59.19,07/01/2025 2,36.83,35.6625,37.2925,36.8725,39.620000000000005,34.46,42.1775,34.81375,34.39375,35.61625,34.99875,36.94,37.08,35.5,59.59375,13770.524959,1743.277718,7288.83993,1705.249145,15019.75471,3660.994801,7895.866777,1233.953631,52318.461672,,,,,,,,,,,24.4,22.8,91.0,16.093,1015.2,26.0,19.0,65.0,16.093,1016.9,28.9,23.9,74.0,16.093,1016.6,7,0,0,1.0,1.59,1.0,0.94,0.05
34.23,33.17,34.78,34.11,36.8,32.35,39.5,32.28,32.52,33.1,32.42,34.15,34.29,34.25,59.02,07/01/2025 3,28.4125,27.45,29.025,28.035,30.8375,27.04,33.5725,26.58,27.1525,27.4325,26.83125,28.0725,28.225,28.86875,54.8325,13355.049952,1652.285729,7205.658187,1653.615634,14199.703613,3577.388589,7614.258275,1186.988235,50444.948215,,,,,,,,,,,24.4,22.8,91.0,16.093,1015.6,25.0,18.0,65.0,16.093,1017.3,28.3,24.4,79.0,16.093,1016.9,7,0,0,0.6,1.4,0.92,0.92,0.05
30.47,29.28,31.09,30.32,33.33,28.39,36.38,28.27,28.46,29.2,28.43,30.36,30.53,30.36,58.52,07/01/2025 4,27.015,25.9725,27.7375,26.5025,29.685,25.655,32.8225,24.9875,25.86,25.96,25.295,26.5475,26.7175,27.87,57.83625,13129.098906,1612.054949,7089.721619,1622.945035,13744.034367,3539.790319,7428.189315,1144.099163,49309.933673,,,,,,,,,,,24.4,23.3,94.0,16.093,1015.9,24.0,19.0,74.0,16.093,1017.9,26.1,24.4,90.0,16.093,1017.6,7,0,0,0.76,0.89,0.51,0.51,0.06
31.73,30.44,32.39,31.61,34.86,29.42,38.08,29.32,29.49,30.35,29.49,31.66,31.83,31.56,62.15,07/01/2025 5,26.5675,25.5625,27.3175,26.045,29.3425,25.0575,32.595,24.4325,25.27,25.5575,24.5625,26.0875,26.27,27.442500000000003,58.44625,13180.090348,1606.027274,7002.874728,1633.546827,13677.047551,3573.25971,7415.340621,1141.232948,49229.420006,,,,,,,,,,,,,,,1016.3,23.0,19.0,78.0,16.093,1018.6,25.6,24.4,93.0,16.093,1017.3,7,0,0,0.89,1.32,0.51,0.51,0.05
34.61,33.26,35.18,34.71,37.85,31.94,40.79,32.09,32.38,33.17,32.27,34.77,34.94,34.31,61.48,07/01/2025 6,27.0175,25.7975,27.9125,26.4,30.317500000000003,25.26,34.1875,24.4875,25.5125,25.79125,24.915,26.45,26.6625,28.09375,64.75625,13457.321107,1625.110543,6946.161666,1660.918226,13938.061881,3612.161135,7555.141697,1156.290443,49951.166699,,,,,,,,,,,,,,,1016.6,23.0,19.0,78.0,16.093,1020.0,25.6,23.9,90.0,16.093,1017.6,7,0,0,0.35,1.68,0.9,0.9,0.1
38.27,36.78,38.88,38.47,41.98,35.0,45.26,35.55,36.04,36.67,35.64,38.54,38.72,37.94,68.01,07/01/2025 7,30.83,30.5225,31.1575,30.6725,32.135,29.8475,33.58,29.91375,30.22,30.52375,30.04875,30.692500000000003,30.7725,30.73125,44.97375,13799.294564,1670.679682,6978.64346,1697.502665,14264.245447,3669.02907,7729.678446,1177.284551,50986.357886,18.4,17.4,94.0,16.093,1024.4,20.8,17.8,83.0,16.093,1023.4,,,,,1016.6,23.0,19.0,78.0,16.093,1020.3,25.6,23.9,90.0,16.093,1017.3,7,0,0,0.82,1.95,1.0,1.03,0.11
30.06,29.17,30.31,30.24,31.98,28.28,33.54,28.88,28.8,29.1,28.73,30.28,30.36,29.46,44.23,07/01/2025 8,29.365,28.0825,30.165,28.89,32.605000000000004,27.49,36.2,26.93,27.6075,28.0575,27.24875,28.945,29.14375,29.65,63.505,14110.410516,1737.515524,6965.777076,1740.441395,14669.204191,3745.98746,7927.012997,1187.520975,52083.870134,18.1,17.3,95.0,16.093,1024.4,19.8,17.6,87.0,16.093,1023.7,,,,,1015.9,23.0,19.0,78.0,16.093,1020.7,24.4,23.9,97.0,14.484,1017.3,7,0,0,2.26,1.58,1.0,1.08,1.0
25.38,25.17,25.44,25.41,25.53,25.0,26.2,25.18,25.09,25.15,25.13,25.41,25.41,25.1,28.3,07/01/2025 9,31.05,30.8375,31.1375,31.035,31.555,30.66,32.015,30.68625,30.6075,30.83125,30.645,31.04875,31.07625,30.7175,35.1275,15005.69628,1857.935619,7237.331509,1786.572725,15586.013841,3745.930963,8330.83334,1230.433175,54780.747452,18.0,17.5,97.0,8.047,1024.0,19.9,17.6,87.0,16.093,1023.7,,,,,1015.6,22.0,21.0,94.0,14.484,1020.7,24.4,22.8,91.0,16.093,1017.9,7,0,0,2.0,1.78,1.75,1.75,1.75
25.26,25.22,25.26,25.39,25.35,24.74,25.7,25.12,24.95,25.22,24.96,25.42,25.45,24.81,26.81,07/01/2025 10,31.5975,32.22,31.85,31.2325,31.91,31.7025,32.24,31.9025,31.5725,32.20125,31.79125,31.7125,35.55625,31.45875,33.4275,16089.183307,2025.766475,7325.987609,1832.441534,16583.735945,3994.055795,8809.190261,1276.012712,57936.373639,18.0,17.5,97.0,2.816,1023.7,18.5,17.1,92.0,16.093,1023.4,,,,,1015.9,22.0,21.0,94.0,16.093,1020.0,23.9,22.2,90.0,16.093,1018.3,7,0,0,1.42,1.19,1.03,1.05,1.03
