Time,HB_BUSAVG,HB_HOUSTON,HB_HUBAVG,HB_NORTH,HB_PAN,HB_SOUTH,HB_WEST,LZ_AEN,LZ_CPS,LZ_HOUSTON,LZ_LCRA,LZ_NORTH,LZ_RAYBN,LZ_SOUTH,LZ_WEST,hour_timestamp,COAST_Load,EAST_Load,ERCOT_Load,FWEST_Load,NCENT_Load,NORTH_Load,SCENT_Load,SOUTH_Load,WEST_Load,temperature_S,dew_point_temperature_S,relative_humidity_S,visibility_S,altimeter_S,month,weekend,holiday,hour
2025-07-01 00:00:00,50.98,54.52,51.32,51.47,52.02,46.39,52.89,49.0,46.02,54.79,48.63,51.41,51.57,50.98,61.35,2025-07-01 00:00:00,14386.943713,1833.719803,54662.483098,7228.378906,16024.215181,1748.815363,8315.950616,3845.923805,1278.535711,25.0,22.8,88.0,16.093,1015.2,7.0,0.0,0.0,0
2025-07-01 00:15:00,49.89,49.2,50.11,50.11,51.76,47.93,53.21,48.69,48.05,49.16,48.76,50.16,50.24,48.12,62.45,2025-07-01 00:00:00,14386.943713,1833.719803,54662.483098,7228.378906,16024.215181,1748.815363,8315.950616,3845.923805,1278.535711,25.0,22.8,88.0,16.093,1015.2,7.0,0.0,0.0,0
2025-07-01 00:30:00,47.01,46.28,47.28,47.25,49.11,44.79,50.78,45.7,45.1,46.25,45.79,47.3,47.39,44.98,61.64,2025-07-01 00:00:00,14386.943713,1833.719803,54662.483098,7228.378906,16024.215181,1748.815363,8315.950616,3845.923805,1278.535711,25.0,22.8,88.0,16.093,1015.2,7.0,0.0,0.0,0
2025-07-01 00:45:00,44.57,43.54,44.86,44.94,47.26,41.69,49.27,42.81,41.73,43.48,42.92,45.01,45.12,41.87,61.66,2025-07-01 00:00:00,14386.943713,1833.719803,54662.483098,7228.378906,16024.215181,1748.815363,8315.950616,3845.923805,1278.535711,25.0,22.8,88.0,16.093,1015.2,7.0,0.0,0.0,0
2025-07-01 01:00:00,42.97,41.87,43.3,43.25,45.66,40.29,47.8,41.18,40.54,41.81,41.36,43.32,43.43,40.67,61.29,2025-07-01 01:00:00,13770.524959,1743.277718,52318.461672,7288.83993,15019.75471,1705.249145,7895.866777,3660.994801,1233.953631,24.4,22.8,91.0,16.093,1015.2,7.0,0.0,0.0,1
2025-07-01 01:15:00,40.07,38.92,40.52,40.13,42.84,37.68,45.35,38.07,37.55,38.87,38.23,40.19,40.33,38.68,62.36,2025-07-01 01:00:00,13770.524959,1743.277718,52318.461672,7288.83993,15019.75471,1705.249145,7895.866777,3660.994801,1233.953631,24.4,22.8,91.0,16.093,1015.2,7.0,0.0,0.0,1
2025-07-01 01:30:00,33.27,32.05,33.79,33.22,36.13,31.01,38.88,31.14,30.79,32.01,31.32,33.29,33.44,32.32,57.97,2025-07-01 01:00:00,13770.524959,1743.277718,52318.461672,7288.83993,15019.75471,1705.249145,7895.866777,3660.994801,1233.953631,24.4,22.8,91.0,16.093,1015.2,7.0,0.0,0.0,1
2025-07-01 01:45:00,31.01,29.81,31.56,30.89,33.85,28.86,36.68,28.87,28.7,29.77,29.08,30.95,31.11,30.32,56.75,2025-07-01 01:00:00,13770.524959,1743.277718,52318.461672,7288.83993,15019.75471,1705.249145,7895.866777,3660.994801,1233.953631,24.4,22.8,91.0,16.093,1015.2,7.0,0.0,0.0,1
2025-07-01 02:00:00,29.61,28.49,30.22,29.37,32.37,27.77,35.24,27.55,27.73,28.46,27.79,29.42,29.58,29.48,56.58,2025-07-01 02:00:00,13355.049952,1652.285729,50444.948215,7205.658187,14199.703613,1653.615634,7614.258275,3577.388589,1186.988235,24.4,22.8,91.0,16.093,1015.6,7.0,0.0,0.0,2
2025-07-01 02:15:00,28.63,27.67,29.25,28.22,31.06,27.29,33.83,26.79,27.42,27.65,27.04,28.26,28.41,29.16,55.43,2025-07-01 02:00:00,13355.049952,1652.285729,50444.948215,7205.658187,14199.703613,1653.615634,7614.258275,3577.388589,1186.988235,24.4,22.8,91.0,16.093,1015.6,7.0,0.0,0.0,2
