,HB_SOUTH_DAM,dew_point_temperature_S,temperature_S,HB_SOUTH_RTM,SOC,Net_Power_MW
2024-06-01 00:00:00,24.57,21.5,29.2,17.69,0.5,0.0
2024-06-01 00:15:00,24.57,21.5,29.2,18.33,0.4342109274457512,-0.26315629021699527
2024-06-01 00:30:00,24.57,21.5,29.2,17.85,0.36842161045137556,-0.2631572679775025
2024-06-01 00:45:00,24.57,21.5,29.2,18.01,0.30263296831665587,-0.26315456853887875
2024-06-01 01:00:00,20.62,21.3,28.5,16.57,0.23684381105813007,-0.2631566290341032
2024-06-01 01:15:00,20.62,21.3,28.5,14.58,0.23684405570155742,9.78573709398134e-07
2024-06-01 01:30:00,20.62,21.3,28.5,13.37,0.2962189646575668,0.23749963582403755
2024-06-01 01:45:00,20.62,21.3,28.5,12.86,0.35559391171884874,0.23749978824512774
2024-06-01 02:00:00,21.84,21.3,27.5,10.29,0.4149688624819629,0.23749980305245666
2024-06-01 02:15:00,21.84,21.3,27.5,9.35,0.4743438324739612,0.23749987996799327
2024-06-01 02:30:00,21.84,21.3,27.5,6.72,0.5337187997033204,0.23749986891743657
2024-06-01 02:45:00,21.84,21.3,27.5,6.59,0.5930937622578191,0.2374998502179948
2024-06-01 03:00:00,22.14,21.7,26.5,6.57,0.6524687458375904,0.23749993431908534
2024-06-01 03:15:00,22.14,21.7,26.5,3.78,0.7118437294764794,0.23749993455555618
2024-06-01 03:30:00,22.14,21.7,26.5,3.81,0.7712187160414608,0.2374999462599252
2024-06-01 03:45:00,22.14,21.7,26.5,6.79,0.8305936971081621,0.23749992426680544
2024-06-01 04:00:00,23.29,22.5,25.8,5.28,0.8899686803400522,0.23749993292756022
2024-06-01 04:15:00,23.29,22.5,25.8,7.5,0.8899686720930198,-3.298812956131769e-08
2024-06-01 04:30:00,23.29,22.5,25.8,9.47,0.8899686618836047,-4.083766036444558e-08
2024-06-01 04:45:00,23.29,22.5,25.8,11.58,0.8899686488761075,-5.202998876185916e-08
2024-06-01 05:00:00,25.05,22.8,25.8,12.5,0.8899686394771542,-3.7595813129343014e-08
